name,brand,image_link,features,price,certificate_reps,product_type,content_by_ethos,certificates,packaging_type,ingredients,rating,url
"Active Conditioner Concentrate, 200 ml",Biofficina Toscana,https://ec.nice-cdn.com/upload/image/product/large/default/19771_3265294b.256x256.jpg,"For damaged & dry hair,Nourishes your hair,Adds volume and leaves hair silky soft","€ 13,89","AIAB,Leaping Bunny,Nickel tested,Unisex,Vegan",Hair Care,"Nickel tested,     Unisex,     Vegan","AIAB,Leaping Bunny,Vegan - Uncertified ",Tube,"Aqua (Water),Behenamidopropyl Dimethylamine,,Phaseolus vulgaris extract,,,Chamomilla Recutita (Matricaria) Flower Extract,,Citrus Medica Limonum (Lemon) Peel Oil,Glycerin,Xanthan Gum,Limonene,Linalool,Sodium Dehydroacetate,Sodium benzoate","4,6",https://www.ecco-verde.com/biofficina-toscana/active-conditioner-concentrate
"Micro-Ialuron Sebo-Lift Booster Serum, 50 ml",Domus Olea Toscana,https://ec.nice-cdn.com/upload/image/product/large/default/52287_00a88ebd.256x256.jpg,"For oily & combination skin,Suitable for acne-prone skin & large pores,Ensures freshness & suppleness,Ultra-light texture","€ 34,49","AIAB,Nickel tested,Unisex",Serums,"Nickel tested,     Unisex",AIAB,,"Aqua (Water),,,Dicaprylyl Ether,Glycerin,Quercus robur extract,,Arnica Montana (Arnica) Flower Extract,,,,Prunus Spinosa Fruit Extract,Plantago Major Leaf Extract,Ruscus Aculeatus Root Extract,Allantoin,Betaine,Bisabolol,Sodium Ascorbyl Phosphate,Tocopheryl Acetate,linum usitatissimum seed oil,,Zinc Gluconate,Xanthan Gum,Glyceryl Linoleate,Glyceryl Linolenate,Potassium Chloride,Magnesiumgluconat,Calcium Gluconate,Sclerotium Gum (Amigel),Ceramide 3,Pyrus Malus Fruit Extract,Citrus Limon (Lemon) Fruit Extract,Hydrolyzed Grape Fruit,Hydrolyzed Wheat Bran,tartaric acid,citricacid,,Potassium Azeloyl Diglycinate,,Lavandula Hybrida (Lavandin) Oil,Retinyl Palmitate,Serine,proline,Glycine,Parfum (Fragrance),Ethylhexylglycerin,Phenoxyethanol,Sodium benzoate,Sodium hydroxide,Linalool","3,9",https://www.ecco-verde.com/domus-olea-toscana/micro-ialuron-sebo-lift-booster-serum
"Conditioning Hair Repair Mask, 200 ml",Biofficina Toscana,https://ec.nice-cdn.com/upload/image/product/large/default/19770_a0d471d8.256x256.jpg,"Suitable for curly, wavy & fine hair,Tames the hair,Increases volume & shine","€ 11,99","AIAB,Leaping Bunny,Nickel tested,Vegan",Hair Care,"Nickel tested,     Vegan","AIAB,Leaping Bunny,Vegan - Uncertified ",,"Aqua (Water),Behenamidopropyl Dimethylamine,Myristyl Alcohol,,,Aesculus Hippocastanum (Horse Chestnut) Seed Extract,Hedera helix (Ivy) leaf/stem extract,,,Glycerin,Xanthan Gum,Sodium benzoate,Sodium Dehydroacetate,Linalool,Limonene","4,5",https://www.ecco-verde.com/biofficina-toscana/conditioning-hair-repair-mask
"Strengthening Hair Mask with Spirulina, 250 ml",Gyada Cosmetics,https://ec.nice-cdn.com/upload/image/product/large/default/131632_fb1e1300.256x256.jpg,"For brittle & thinning hair,Rich vitamin & minerals,Vegan & nickel tested","€ 19,99","AIAB,PETA Cruelty Free,Nickel tested,Vegan",Hair Care,"Curly Girl Method Approved,     Nickel tested,     Vegan","AIAB,PETA Cruelty Free",,"Aqua (Water),Myristyl Alcohol,Linum Usitatissimum Oil,,Helianthus Annuus (Sunflower) Seed Oil,,Behenamidopropyl Dimethylamine,,Avena Sativa (Oat) Leaf/Stalk Extract,Panax Ginseng Root Extract,,Spirulina Maxima Extract,Glycine Soja (Soybean) Protein,Hydrolyzed Wheat Protein,,Tocopheryl Acetate,Sodium PCA,Arginine Ferulate,valine,Tetrasodium Glutamate Diacetate,Parfum (Fragrance),Xanthan Gum,Sodium benzoate,citricacid","4,5",https://www.ecco-verde.com/gyada-cosmetics/strengthening-hair-mask-with-spirulina
"ELEMENTA VITAMIN Vitamin C 2%, 30 ml",Bioearth,"https://ec.nice-cdn.com/upload/image/product/large/default/122774_3340d400.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/122775_5df8be17.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/122774_3340d400.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/122775_5df8be17.128x128.jpg","Suitable for all 30+ skin types & mature skin,Stimulates collagen synthesis,Rich in antioxidants,Evens out the complexion",,"AIAB,Nickel tested,Unisex,Vegan",Serums,"Nickel tested,     Unisex,","AIAB,Vegan - Uncertified ",Pipette / Bottle with pipette,"Aqua (Water),3-o-ethyl ascorbic acid,Cellulose Gum,,Phenethyl Alcohol,caprylyl glycol","4,5",https://www.ecco-verde.com/bioearth/elementa-vitamin-vitamin-c-2
"Anti-Aging Peeling Mask for Face & Body, 50 ml",Domus Olea Toscana,https://ec.nice-cdn.com/upload/image/product/large/default/56631_dd5a6549.256x256.jpg,"Rich in antioxidants,Leaves your skin bright & soft,Ideal also for impure skin","€ 11,59","AIAB,AsureQuality ,Nickel tested",Body Scrubs,Nickel tested,"AIAB,AsureQuality ",Tube,"Aqua (Water),,Ethylhexyl Palmitate,Glycerin,,,Phenoxyethanol,Sodium Lauroyl Glutamate,Stearic Acid,Xanthan Gum,Sodium benzoate,Sodium Dehydroacetate,,,Limonene,,Linalool","4,5",https://www.ecco-verde.com/domus-olea-toscana/anti-aging-peeling-mask-for-face-body
"ELEMENTA EXFO Buffered Glycolic Acid 10%, 15 ml",Bioearth,https://ec.nice-cdn.com/upload/image/product/large/default/149482_77334481.256x256.png,"Ideal for mature & blemished skin,Refines & smooths the complexion,Stimulates the regeneration phase",,"AIAB,Nickel tested,Vegan",Serums,"Nickel tested,","AIAB,Vegan - Uncertified ",Pipette / Bottle with pipette,"Aqua (Water),glycolic acid,Cellulose Gum,Ammonium Hydroxide,,Phenethyl Alcohol,caprylyl glycol","4,5",https://www.ecco-verde.com/bioearth/elementa-exfo-buffered-glycolic-acid-10
"Protective, Volumizing Conditioner, 200 ml",Biofficina Toscana,https://ec.nice-cdn.com/upload/image/product/large/default/28762_dd7579af.256x256.jpg,"For curly & straight hair,Hair manageability & fullness,Antioxidant properties","€ 12,99","AIAB,Leaping Bunny,Nickel tested,Vegan",Hair Care,"Nickel tested,     Vegan","AIAB,Leaping Bunny,Vegan - Uncertified ",Tube,"Aqua (Water),Myristyl Alcohol,Behenamidopropyl Dimethylamine,Glycerin,,,Hydrolyzed Grape Fruit,Hydrolyzed Olive Fruit,Citrus Aurantium Dulcis (Orange) Flower Extract,Citrus Medica Limonum (Lemon) Fruit Extract,,Juniperus Communis Fruit Extract,Xanthan Gum,Citrus Aurantium Dulcis (Orange) Peel Oil,Parfum (Fragrance),Dehydroacetic Acid,Limonene","4,4",https://www.ecco-verde.com/biofficina-toscana/protective-volumizing-conditioner
"Sebo-Lift Cleansing Cream, 150 ml",Domus Olea Toscana,https://ec.nice-cdn.com/upload/image/product/large/default/121802_ff0de27e.256x256.jpg,"For oily & blemished skin,Removes dead skin cells,With a fresh scent","€ 16,59","AIAB,AsureQuality ,Nickel tested",Facial Cleansers,Nickel tested,"AIAB,AsureQuality ",,"Aqua (Water),Helianthus Annuus (Sunflower) Seed Oil,Sodium Lauroyl Sarcosinate,Cocamidopropyl Betaine,Sodium Lauroyl Glutamate,Disodium Cocoamphodiacetate,Sorbitan Sesquicaprylate,Betaine,Glycerin,Cupressus Sempervirens Leaf/stem Extract,Hydrolyzed Eruca Sativa Leaf,,Xanthan Gum,Castanea sativa bark extract,,Zinc Gluconate,tartaric acid,Pyrus Malus Fruit Extract,Citrus Limon (Lemon) Fruit Extract,citricacid,Tocopheryl Acetate,Hydrolyzed Grape Fruit,Hydrolyzed Wheat Bran,Parfum (Fragrance),Sodium chloride,Sodium benzoate,Ethylhexylglycerin,Phenoxyethanol","4,5",https://www.ecco-verde.com/domus-olea-toscana/sebo-lift-cleansing-cream
"Strengthening Hair Balm with Spirulina, 200 ml",Gyada Cosmetics,https://ec.nice-cdn.com/upload/image/product/large/default/131631_1bbd5d73.256x256.jpg,"For brittle hair that is prone to split ends,Strengthening effects,Adds shine,Vegan & nickel tested","€ 16,99","AIAB,Nickel tested,Vegan",Hair Care,"Curly Girl Method Approved,     Nickel tested,     Vegan","AIAB,Vegan - Uncertified ",,"Aqua (Water),Myristyl Alcohol,Behenamidopropyl Dimethylamine,Linum Usitatissimum Oil,Helianthus Annuus (Sunflower) Seed Oil,,,Glycerin,,Avena Sativa (Oat) Leaf/Stalk Extract,Panax Ginseng Root Extract,Spirulina Maxima Extract,Hydrolyzed Wheat Protein,,Tocopheryl Acetate,Glycine Soja (Soybean) Protein,Arginine Ferulate,valine,Sodium Dehydroacetate,Sodium benzoate,Parfum (Fragrance),Xanthan Gum,citricacid","4,0",https://www.ecco-verde.com/gyada-cosmetics/strengthening-hair-balm-with-spirulina
"Curl Styling Cream, 200 ml",Gyada Cosmetics,"https://ec.nice-cdn.com/upload/image/product/large/default/138945_f7e3ad37.256x256.png,https://ec.nice-cdn.com/upload/image/product/large/default/138942_d2916eca.256x256.png,https://ec.nice-cdn.com/upload/image/product/large/default/138948_407963b3.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/138945_f7e3ad37.128x128.png,https://ec.nice-cdn.com/upload/image/product/large/default/138942_d2916eca.128x128.png,https://ec.nice-cdn.com/upload/image/product/large/default/138948_407963b3.128x128.jpg","Perfect for wavy hair,Tames & nourishes,Rich in nourishing oils","€ 18,99","AIAB,Nickel tested,Vegan",Hair Styling,"Curly Girl Method Approved,     Nickel tested,     Vegan","AIAB,Vegan - Uncertified ",,"Aqua (Water),,Glycerin,Linum Usitatissimum Oil,,Arnica Montana (Arnica) Flower Extract,Arctium Lappa (Burdock) Root Extract,,,Glyceryl Oleate,Parfum (Fragrance),Tetrasodium Glutamate Diacetate,Sodium benzoate,citricacid","4,1",https://www.ecco-verde.com/gyada-cosmetics/curl-styling-cream-1
"Leave-in Conditioner, 100 ml",Biofficina Toscana,https://ec.nice-cdn.com/upload/image/product/large/default/92352_06360668.256x256.jpg,"Recommended for all hair types,Improves hair manageability,Antioxidant effect,Vegan & nickel tested","€ 13,59","AIAB,PETA Cruelty Free,Nickel tested,Vegan",Hair Care,"Curly Girl Method Approved,     Nickel tested,     Vegan","AIAB,PETA Cruelty Free",,"Aqua (Water),Glycerin,Stearyl Alcohol,Dipalmitoylethyl Hydroxyethylmonium Methosulfate,Behenamidopropyl Dimethylamine,Actinidia Deliciosa Fruit Extract,Ananas Sativus (Pineapple)  Fruit Extract,,Citrus Limon (Lemon) Peel Extract,Linum Usitatissimum (Linseed) Seed Extract,Soy Amino Acids,Wheat amino acids,Arginine Ferulate,Serine,threonine,Parfum (Fragrance),Dehydroacetic Acid,Limonene,Hexyl Cinnamal,Linalool","4,2",https://www.ecco-verde.com/biofficina-toscana/leave-in-conditioner-3
"uomo Beard Balm, Woody scent (100 ml)",Biofficina Toscana,https://ec.nice-cdn.com/upload/image/product/large/default/131474_4de691ec.256x256.jpg,"Rich in flavonoids & antioxidants,Moisturizing,Ensures suppleness,Available in 2 fragrances","€ 14,49","AIAB,Leaping Bunny,Nickel tested,Vegan",Men's Cosmetics,"Alcohol-free ,     Nickel tested,     Vegan","AIAB,Leaping Bunny,Vegan - Uncertified ",Jar,"Aqua (Water),,Behenamidopropyl Dimethylamine,Myristyl Alcohol,Urea,,,,,Glycerin,Xanthan Gum,Citrus Sinensis (Orange) Peel Oil,Amyris Balsamifera Bark Oil,Boswellia Carterii Gum Oil,Cinnamomum zeylanicum bark oil,Coriandrum Sativum (Coriander) Seed Oil,Eugenia Caryophyllus (Clove) Bud Oil,Lavandula Angustifolia (Lavender) Oil,Schinus Terebinthifolius Seed Extract,Vanillin,Geraniol,Dehydroacetic Acid,Sodium benzoate,Sodium Dehydroacetate,Limonene,Linalool","4,4",https://www.ecco-verde.com/biofficina-toscana/uoma-beard-balm
"Mild Intimate Cleanser, 300 ml",Anthyllis,https://ec.nice-cdn.com/upload/image/product/large/default/138705_fa417b3e.256x256.png,"Refreshing,Physiological pH value,Natural cleansing substances","€ 5,49",Unisex,Intimate Hygiene Care,Unisex,,Pump bottle,"Aqua (Water),Sorbitol,Disodium Cocoamphodiacetate,Cocamidopropyl Betaine,Lauryl glucoside,Sodium chloride,Disodium Capryloyl Glutamate,Lactic Acid,Coco-Glucoside,Glyceryl Oleate,Lavandula Hybrida Oil,Calendula Officinalis (Marigold) Flower Extract,Vaccinium Myrtillus (Heidelbeere) Fruit Extract,Glycerin,Linalool","4,6",https://www.ecco-verde.com/anthyllis/mild-intimate-cleanser
"Eyelash Oil, 8 ml",Bioearth,https://ec.nice-cdn.com/upload/image/product/large/default/134490_cb1d0b73.256x256.png,"Strengthening effects,Rich in vitamins,100% pure oil blend",,"AIAB,Nickel tested,Vegan",Special Treatments,"Alcohol-free ,     Nickel tested,","AIAB,Vegan - Uncertified ",,"Helianthus Annuus (Sunflower) Seed Oil,Tocopheryl Acetate,,,","4,1",https://www.ecco-verde.com/bioearth/eyelash-oil
"""Hair Repair Cream"" Leave-in-Conditioner, 100 ml",Biofficina Toscana,https://ec.nice-cdn.com/upload/image/product/large/default/23712_1ec542ed.256x256.jpg,"For dry & damaged hair,Protective properties,Fullness & radiance","€ 15,59","AIAB,Leaping Bunny,Nickel tested,Vegan",Hair Care,"Nickel tested,     Vegan","AIAB,Leaping Bunny,Vegan - Uncertified ",,"Aqua (Water),Propanediol,Dicaprylyl Ether,Myristyl lactate,Solanum Lycopersicum (Tomato) Fruit Extract,Helianthus Annuus (Sunflower) Seed Wax,,Wheat amino acids,Soy Amino Acids,Helianthus Annuus (Sunflower) Seed Oil,Acacia Decurrens Flower Wax,,Rosmarinus Officinalis (Rosemary) Leaf Extract,,,Urea,Glycerin,Arginine Hci,Serine,threonine,Olus Oil (Vegetable),Xanthan Gum,Sodium Cocoyl Sarcosinate,Saccharide Isomerate,Decyl glucoside,Glyceryl Oleate,Sodium benzoate,Sodium Dehydroacetate,Parfum (Fragrance),Mica,Sodium Cetearyl Sulfate,Polyglycerin-3,citricacid,Linalool,Limonene,Hexyl Cinnamal,Sodium Citrate,Tocopheryl Acetate","3,9",https://www.ecco-verde.com/biofficina-toscana/leave-in-conditioner-2
"Castor & Almond Eyelashes Oil, 10 ml",Allegro Natura,"https://ec.nice-cdn.com/upload/image/product/large/default/124949_7b82a4dd.256x256.png,https://ec.nice-cdn.com/upload/image/product/large/default/124950_74507ea4.256x256.webp,https://ec.nice-cdn.com/upload/image/product/large/default/124949_7b82a4dd.128x128.png,https://ec.nice-cdn.com/upload/image/product/large/default/124950_74507ea4.128x128.webp","Strengthening effects,Easy to use,Nourishes & hydrates,Vegan","€ 10,99",,Special Treatments,,,,"Ricinus Communis (Castor) Oil,Prunus Amygdalus Dulcis (Sweet Almond) Oil,Tocopheryl Acetate","4,0",https://www.ecco-verde.com/allegro-natura/castor-almond-eyelashes-oil
"Red Berry Make-Up Remover Butter, 150 ml",Biofficina Toscana,"https://ec.nice-cdn.com/upload/image/product/large/default/64507_cb223c5f.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/43292_b4fe42f5.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/64507_cb223c5f.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/43292_b4fe42f5.128x128.jpg","Melts into the skin & transforms into a milk-oil blend,Perfect for the eye area,Dermatologically & nickel tested","€ 20,99","AIAB,Leaping Bunny,Nickel tested","Make-up ,",Nickel tested,"AIAB,Leaping Bunny",,"Myristyl lactate,Lauryl Glucoside,hydrogenated castor oil,Polyglyceryl-2 Dipolyhydroxystearate,Aqua (Water),Glycerin,,,,morus nigra fruit extract,Vaccinium Myrtillus Fruit Extract,,Ribes Uva-Crispa Fruit Extract,Parfum (Fragrance),citricacid","4,3",https://www.ecco-verde.com/biofficina-toscana/red-berry-make-up-remover-butter
"Sunflower Seeds Restoring Mask, 200 ml",MaterNatura,"https://ec.nice-cdn.com/upload/image/product/large/default/128939_b7a30980.256x256.png,https://ec.nice-cdn.com/upload/image/product/large/default/128642_b3825085.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/128643_3b1e7da2.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/128939_b7a30980.128x128.png,https://ec.nice-cdn.com/upload/image/product/large/default/128642_b3825085.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/128643_3b1e7da2.128x128.jpg","For dry & damaged hair,Highly moisturising,Protects against heat & environmental influences","€ 17,99","AIAB,Vegan OK,Nickel tested,Vegan",Hair Care,"Nickel tested,     Vegan","AIAB,Vegan OK",,"Aqua (Water),Behenamidopropyl Dimethylamine,Helianthus Annuus (Sunflower) Seed Oil,Glycerin,Myristyl Alcohol,Myristyl lactate,Ethylhexyl Palmitate,Avena Sativa (Oat) Bran Extract,Linum Usitatissimum (Linseed) Seed Extract,Panicum Miliaceum Extract,Helianthus Annuus (Sunflower) Seed Oil,Parfum (Fragrance),Xanthan Gum,Dehydroacetic Acid,Hexyl Cinnamal,Linalool","4,5",https://www.ecco-verde.com/maternatura/sunflower-seeds-restoring-mask
"Restructuring Conditioner, 200 ml",Phitofilos,https://ec.nice-cdn.com/upload/image/product/large/default/105647_cc01032c.256x256.png,"Suitable for dry, limp & treated hair,Ensures shine & suppleness,Nickel tested & vegan","€ 13,99","AIAB,Vegan OK,Nickel tested,Unisex,Vegan",Hair Care,"Nickel tested,     Sulphate-free ,     Unisex,     Vegan","AIAB,Vegan OK",,"Aqua (Water),Myristyl Alcohol,Behenamidopropyl Dimethylamine,Caprylic/Capric Triglyceride,Cetyl Alcohol,Oryza Sativa Bran Oil,hydrolyzed rice protein,argania spinosa kernel oil*,malva sylvestris (mallow) flower/leaf extract*,althaea officinalis root extract*,Glycerin,Sodium benzoate,Lactic acid,Sodium Dehydroacetate,Parfum","4,4",https://www.ecco-verde.com/phitofilos/sinergia-restructuring-conditioner-silk-drops
"ELEMENTA PURIFY Zinc + Niacinamide 11%, 30 ml",Bioearth,"https://ec.nice-cdn.com/upload/image/product/large/default/122770_6a211db8.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/122771_2b82d5fc.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/122770_6a211db8.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/122771_2b82d5fc.128x128.jpg","For oily, blemished & combination skin,Regulates sebum production & brightens the skin,Normalising effects",,"AIAB,Nickel tested,Unisex,Vegan",Serums,"Nickel tested,     Unisex,","AIAB,Vegan - Uncertified ",Pipette / Bottle with pipette,"Aqua (Water),Cellulose Gum,Zinc Gluconate,,Phenethyl Alcohol,caprylyl glycol","4,4",https://www.ecco-verde.com/bioearth/elementa-purify-zinc-niacinamide-11
"Strengthening Hair Gel with Spirulina & Aloe, 150 ml",Gyada Cosmetics,https://ec.nice-cdn.com/upload/image/product/large/default/143692_1ed9c2f3.256x256.png,"Suitable for all hair types - including curly hair,Boosts shine & hydration,Perfect for men & women","€ 16,99","AIAB,PETA Cruelty Free,Nickel tested,Unisex,Vegan",Hair Styling,"Curly Girl Method Approved,     Nickel tested,     Unisex,     Vegan","AIAB,PETA Cruelty Free",Pump bottle,"Aqua (Water),Xanthan Gum,Propanediol,,Acacia Senegal Gum,,Avena Sativa (Oat) Leaf/Stalk Extract,Panax Ginseng Root Extract,Spirulina Maxima Extract,Hydrolyzed Wheat Protein,Arginine Ferulate,valine,Parfum (Fragrance),citricacid,Sodium benzoate,Tetrasodium Glutamate Diacetate","4,4",https://www.ecco-verde.com/gyada-cosmetics/strengthening-hair-gel-with-spirulina-aloe
"ELEMENTA AGE Hyaluronic Acid Solution 2%, 30 ml",Bioearth,"https://ec.nice-cdn.com/upload/image/product/large/default/122777_12170ec8.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/122778_a3c92b9d.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/122777_12170ec8.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/122778_a3c92b9d.128x128.jpg","Suitable for all skin types,Highly moisturising,Plumps the skin",,"AIAB,Nickel tested,Unisex,Vegan",Serums,"Nickel tested,     Unisex,","AIAB,Vegan - Uncertified ",Pipette / Bottle with pipette,"Aqua (Water),Cellulose Gum,,caprylyl glycol,Phenethyl Alcohol","4,4",https://www.ecco-verde.com/bioearth/elementa-age-hyaluronic-acid-solution-2
"Defined Curl Shaping Lotion, 100 ml",Biofficina Toscana,https://ec.nice-cdn.com/upload/image/product/large/default/83632_3ef24577.256x256.jpg,"Protects the hair against heat,Optimum hold,Fruity & floral scent","€ 14,99","AIAB,Leaping Bunny,Nickel tested,Vegan",Hair Styling,"Curly Girl Method Approved,     Nickel tested,     Vegan","AIAB,Leaping Bunny,Vegan - Uncertified ",,"Aqua (Water),,,Glycerin,Actinidia Deliciosa Fruit Extract,Xanthan Gum,Phenethyl Alcohol,,Hydrolyzed Soy Protein,Sodium benzoate,Sodium Dehydroacetate,Parfum (Fragrance),Avena Sativa (Oat) Bran Extract,Citrus Sinensis (Sweet Orange) Peel Extract,Limonene,Hexyl Cinnamal,Linalool,,citricacid,Dehydroacetic Acid,,Citrus Medica Limonum (Lemon) Peel Oil","3,9",https://www.ecco-verde.com/biofficina-toscana/defined-curl-shaping-lotion
"Organic Curcuma Tooth Oil, 100 ml",Eliah Sahil,https://ec.nice-cdn.com/upload/image/product/large/default/91811_0815ef6a.256x256.jpg,"Strengthening & purifying properties,Fresh breath,Easy to use","€ 13,49","UK Vegan Society,Austria Bio Garantie,Unisex,Vegan",,"Alcohol-free ,","UK Vegan Society,Austria Bio Garantie,Vegan - Uncertified ",,"sapindus mukorossi seed oil,Xylitol,Curcuma Xanthorrhiza Root Extract,,,croton lechleri resin powder,,,Limonene,Linalool","4,3",https://www.ecco-verde.com/eliah-sahil-beauty/organic-curcuma-tooth-oil
"Organic Ginger Toothpowder, 45 g",Eliah Sahil,https://ec.nice-cdn.com/upload/image/product/large/default/126814_dd810d88.256x256.png,"Strengthening properties,Stabilises the oral flora,Removes dental deposits","€ 9,49","UK Vegan Society,Austria Bio Garantie,Unisex,Vegan",,"Alcohol-free ,     Fluoride-free ,","UK Vegan Society,Austria Bio Garantie",,"Diatomaceous Earth,Xylitol,zingiber officinale root powder,Chamomilla recutita flower powder,,,croton lechleri resin powder","4,3",https://www.ecco-verde.com/eliah-sahil-beauty/organic-ginger-toothpowder
"Organic Facial Cream, 50 ml",Tiroler Kräuterhof,https://ec.nice-cdn.com/upload/image/product/large/default/75751_b3f7b7c3.256x256.jpg,"Supports the moisture balance,Inhibits inflammation,Nutrient rich,Also suitable for sensitive skin around the eyes","€ 39,99","Austria Bio Garantie,EU Organic Logo ",Face Creams,,"Austria Bio Garantie,EU Organic Logo ",Jar,"Aqua (Water),Oleum Europaea,Helianthus Annuus (Sunflower) Seed Oil,Aqua Rosae,,,,,,,Parfum (Fragrance)","4,0",https://www.ecco-verde.com/tiroler-kraeuterhof/organic-facial-cream
"Organic Amla Shampoo, 500 g",Eliah Sahil,https://ec.nice-cdn.com/upload/image/product/large/default/65774_ebd3ddfc.256x256.jpg,"For fine to normal hair types,Boosts shine & fullness,Refillable","€ 39,99","UK Vegan Society,Austria Bio Garantie,Unisex,Vegan",Shampoos,"Alcohol-free ,","UK Vegan Society,Austria Bio Garantie",,"Solum Fullonum,Acacia Concinna Fruit Powder,sapindus mukorossi shell powder,Emblica Officinalis Fruit Powder,terminalia bellirica fruit powder,Terminalia Chebula Fruit Powder,aloe barbadensis leaf extract powder,Parfum (Fragrance),Linalool","4,1",https://www.ecco-verde.com/eliah-sahil-beauty/organic-amla-shampoo
"Organic Dragon's Blood Shampoo for Kids, 100 g",Eliah Sahil,https://ec.nice-cdn.com/upload/image/product/large/default/65766_b1362339.256x256.png,"Contains precious plant essences,Soothing properties,Available as a refill","€ 13,49","Austria Bio Garantie,Vegan","Baby & Kids ,     Shampoos","Alcohol-free ,","Austria Bio Garantie,Vegan - Uncertified ",,"Solum fullonum (Fuller’s clay),Acacia Concinna Fruit Powder,sapindus mukorossi shell powder,Emblica Officinalis Fruit Powder,terminalia bellirica fruit powder,Terminalia Chebula Fruit Powder,aloe barbadensis leaf extract powder,Chamomilla recutita flower powder,croton lechleri resin powder","5,0",https://www.ecco-verde.com/eliah-sahil-beauty/organic-dragons-blood-shampoo-for-kids
"Organic Chamomile Shampoo, 490 ml",Tiroler Kräuterhof,https://ec.nice-cdn.com/upload/image/product/large/default/100914_cd548525.256x256.jpg,"For sensitive skin & dandruff,Suitable for children,pH value: 4.0","€ 31,49","Austria Bio Garantie,EU Organic Logo ",Shampoos,,"Austria Bio Garantie,EU Organic Logo ",Bottle,"Aqua (Water),Ethanol,Disodium Cocoyl Glutamate,Buxus Chinensis (Jojoba) Oil,Acetylated Castor Oil,Wheat Protein,citricacid,Xanthan Gum","3,8",https://www.ecco-verde.com/tiroler-kraeuterhof/organic-chamomile-shampoo
"Tyrolean Organic Balm, 10 ml",Tiroler Kräuterhof,https://ec.nice-cdn.com/upload/image/product/large/default/2315_9841569a.256x256.jpg,"For chapped lips,For minor burns,For insect bites","€ 9,89","Austria Bio Garantie,EU Organic Logo ,Unisex",Body Care,"Plastic-free ,     Unisex","Austria Bio Garantie,EU Organic Logo ",Jar,"Oleum Olivae,Helianthus Annuus (Sunflower) Seed Oil,Aqua (Water),Pinus Sylvestris,Arnica Montana (Arnica),Parfum (Fragrance)","4,4",https://www.ecco-verde.com/tiroler-kraeuterhof/tyrolean-organic-balm
"Organic Ashwagandha, 250 g",Eliah Sahil,"https://ec.nice-cdn.com/upload/image/product/large/default/110840_dc8320e6.256x256.png,https://ec.nice-cdn.com/upload/image/product/large/default/110635_a87433c9.256x256.png,https://ec.nice-cdn.com/upload/image/product/large/default/110840_dc8320e6.128x128.png,https://ec.nice-cdn.com/upload/image/product/large/default/110635_a87433c9.128x128.png","Gently ground,Additive-free,Ideal for muesli, smoothies, etc.","€ 11,99","Austria Bio Garantie,Gluten-free,Unisex,Vegan",,"Ayurveda ,     Gluten-free,     Lactose-free,     Plastic-free ,     Unisex,     Vegan","Austria Bio Garantie,Vegan - Uncertified ",,,"4,5",https://www.ecco-verde.com/eliah-sahil-beauty/organic-ashwagandha
"Organic Sensitive Shampoo, 100 g",Eliah Sahil,https://ec.nice-cdn.com/upload/image/product/large/default/71427_a61ed6e8.256x256.png,"Suitable for fine to normal hair types,Soothes the scalp,Plastic-free powder","€ 14,49","Austria Bio Garantie,Vegan",Shampoos,"Plastic-free ,","Austria Bio Garantie,Vegan - Uncertified ",,"Solum Fullonum,Acacia Concinna Fruit Powder,sapindus mukorossi shell powder,Emblica Officinalis Fruit Powder,terminalia bellirica fruit powder,Terminalia Chebula Fruit Powder,Arthrospira platensis extract,,Chamomilla recutita flower powder","4,3",https://www.ecco-verde.com/eliah-sahil-beauty/organic-sensitive-shampoo
