name,brand,image_link,features,price,certificate_reps,product_type,content_by_ethos,certificates,packaging_type,ingredients,rating,url
"Soap-free Organic Lotus Flower Shower Gel, 650 ml Refill",LÉA NATURE SO BiO étic,https://ec.nice-cdn.com/upload/image/product/large/default/85135_ba27017b.256x256.png,"For dry & sensitive skin,Particularly mild on the skin,Softens & hydrates","€ 7,89","Cosmébio,ECOCERT",Body Cleansing,,"Cosmébio,ECOCERT","Bottle,     In a resealable bag","Aqua (Water),Glycerin,Cocamidopropyl Betaine,Decyl glucoside,Lauryl Glucoside,Nelumbo Nucifera Flower Extract,,Parfum (Fragrance),Sodium chloride,Xanthan Gum,Sodium benzoate,Limonene,citricacid,Sodium hydroxide","4,4",https://www.ecco-verde.com/sobio-etic/soap-free-organic-lotus-flower-shower-gel
"Compact Powder, 02 Beige Clair (4,50 g)",boho,"https://ec.nice-cdn.com/upload/image/product/large/default/71944_9965c63a.256x256.png,https://ec.nice-cdn.com/upload/image/product/large/default/71945_ee3fcf9e.256x256.png,https://ec.nice-cdn.com/upload/image/product/large/default/71944_9965c63a.128x128.png,https://ec.nice-cdn.com/upload/image/product/large/default/71945_ee3fcf9e.128x128.png","Ideal for touch-ups,Mattifying effect,Good coverage","€ 12,89","Cosmébio,Unisex,Vegan",Make-up,"Unisex,     Vegan","Cosmébio,Vegan - Uncertified ",,"Mica,Zea mays (corn) starch,Zinc Stearate,Iron Oxide (CI 77492),CI 77491 (Iron Oxide),CI 77499 (Iron Oxide),,Dehydroacetic Acid","3,5",https://www.ecco-verde.com/boho-green-make-up/compact-powder-11
"Black Aleppo Soap with Eucalyptus, 180 g",Najel,https://ec.nice-cdn.com/upload/image/product/large/default/12444_3f418ae9.256x256.jpg,"For all skin types,Refreshing & clarifying,Cleanses deep into the pores","€ 7,99","ECOCERT - Cosmos Natural,Cosmébio - COSMOS NATURAL,Unisex",Soaps,"Refillable,     Refill ,     Unisex","ECOCERT - Cosmos Natural,Cosmébio - COSMOS NATURAL","Bucket,     Jar","Aqua (Water),Potassium Olivate,Glycerin,Parfum (Fragrance),Potassium Laurelate,Sodium benzoate,potassium hydroxide,citricacid,Limonene","4,4",https://www.ecco-verde.com/najel/black-aleppo-soap-with-eucalyptus
"Marseille Sliced Soap, 2 kg",Tadé Pays du Levant,https://ec.nice-cdn.com/upload/image/product/large/default/95950_115bdcb8.256x256.jpg,"Suitable for all skin types including sensitives skin,For the face, body & hands,Hypoallergenic & mild formula","€ 34,49","ECOCERT,Unisex",Soaps,"Hypoallergenic,     Unisex",ECOCERT,,"Sodium Olivate,Sodium Cocoate,Aqua (Water),Sodium chloride,Sodium hydroxide","5,0",https://www.ecco-verde.com/tade-pays-du-levant/marseille-sliced-soap
"Marseille Cube Soap, 300 g",Tadé Pays du Levant,"https://ec.nice-cdn.com/upload/image/product/large/default/85442_9799f07a.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/85443_4d623ab6.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/85444_2c084dd5.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/85442_9799f07a.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/85443_4d623ab6.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/85444_2c084dd5.128x128.jpg","Suitable for all skin types,Mild & gentle formula,Nourishing effects","€ 4,09","ECOCERT - Cosmos Organic,Unisex",Soaps,Unisex,ECOCERT - Cosmos Organic,,"Sodium Olivate,Sodium Cocoate,Aqua (Water),Sodium chloride,Sodium hydroxide","5,0",https://www.ecco-verde.com/tade-pays-du-levant/marseille-cube-soap
"Aloe Vera & Baking Soda Tooth Tablets, 80 Pcs",Natessance,"https://ec.nice-cdn.com/upload/image/product/large/default/83655_1fa219b1.256x256.png,https://ec.nice-cdn.com/upload/image/product/large/default/83656_88220623.256x256.png,https://ec.nice-cdn.com/upload/image/product/large/default/83655_1fa219b1.128x128.png,https://ec.nice-cdn.com/upload/image/product/large/default/83656_88220623.128x128.png","Gentle brightening effect,Gentle lather formation,Fluoride-free","€ 9,39","ECOCERT - Cosmos Organic,Cosmébio - COSMOS NATURAL,Cosmébio - COSMOS ORGANIC,Unisex,Vegan",,"Fluoride-free ,","ECOCERT - Cosmos Organic,Cosmébio - COSMOS NATURAL,Cosmébio - COSMOS ORGANIC,Vegan - Uncertified ",,"Calcium Citrate,erythritol,Calcium Carbonate,Sodium Bicarbonate,Aroma,Xanthan Gum,Xylitol,Sodium Lauroyl Glutamate,citricacid,,rebaudioside A,Magnesium Stearate,Limonene","4,7",https://www.ecco-verde.com/natessance/aloe-vera-baking-soda-tooth-tablets
"Black Soap with Argan Oil, 200 ml",Najel,https://ec.nice-cdn.com/upload/image/product/large/default/100193_8715a130.256x256.jpg,"Suitable for all skin types,Prevents skin from drying out,Unscented","€ 7,89","Cosmébio - COSMOS NATURAL,Vegan",Soaps,,"Cosmébio - COSMOS NATURAL,Vegan - Uncertified ",Jar,"Aqua (Water),Potassium Olivate,Glycerin,POTASSIUM ARGANATE,Sodium benzoate,potassium hydroxide","5,0",https://www.ecco-verde.com/najel/black-soap-with-argan-oil
"Marseille Soap, Almond (100 g)",Tadé Pays du Levant,"https://ec.nice-cdn.com/upload/image/product/large/default/85437_d39cb728.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/85441_8a636148.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/85437_d39cb728.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/85441_8a636148.128x128.jpg","Suitable for all skin types,Mild formula,Plastic-free","€ 4,09",Unisex,Soaps,"Plastic-free ,     Unisex",,,"Sodium Olivate,Sodium Cocoate,Aqua (Water),Sodium palmitate,sodium stearate,Parfum (Fragrance),Glycerin,Helianthus Annuus (Sunflower) Seed Oil,Tocopherol (Vitamin E),Sodium chloride,Tetrasodium Glutamate Diacetate","3,9",https://www.ecco-verde.com/tade-pays-du-levant/marseille-soap
"Alum Stone Deodorant, 100 g",Tadé Pays du Levant,"https://ec.nice-cdn.com/upload/image/product/large/default/85389_44905d3a.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/85388_3fe8f973.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/85389_44905d3a.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/85388_3fe8f973.128x128.jpg","Suitable for all skin types,Astringent effects,Natural & safe to use","€ 7,69","ECOCERT - Cosmos Organic,Unisex",,"Hypoallergenic,     Unisex",ECOCERT - Cosmos Organic,,"Potassium Alum,Aqua (Water)","5,0",https://www.ecco-verde.com/tade-pays-du-levant/alum-stone-deodorant
"Deodorant Roll-On, Water lily (50 ml)",aluna,https://ec.nice-cdn.com/upload/image/product/large/default/75410_a276bd57.256x256.jpg,"Suitable for all skin types,Reliable protection,Alcohol-free",,,,,,,"Aqua (Water),Potassium Alum,Glycerin,cetearyl wheat straw glycosides,microcrystalline cellulose,Cetearyl Alcohol,Sodium benzoate,Parfum,aloe barbadensis leaf,Xanthan Gum,Cellulose Gum,nuphar luteum root extract,Potassium Sorbate,Citric Acid","3,3",https://www.ecco-verde.com/aluna/deodorant-roll-on-1
"Eyebrow Pencil, 127 Dark blonde (1,20 g)",Couleur Caramel,"https://ec.nice-cdn.com/upload/image/product/large/default/112140_81e8cdc4.256x256.png,https://ec.nice-cdn.com/upload/image/product/large/default/112141_0cccdb7d.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/112140_81e8cdc4.128x128.png,https://ec.nice-cdn.com/upload/image/product/large/default/112141_0cccdb7d.128x128.jpg","Defines & corrects,Sculpts the brows,Precise lines","€ 18,19",,Make-up,,,,"hydrogenated castor oil,Mica,,,oleic/linoleic/linolenic polyglycerides,Bisabolol,Helianthus Annuus (Sunflower) Seed Oil,May Contain (+/-): CI 77499 (Iron Oxide),CI 77491 (Iron Oxide),Iron Oxide (CI 77492)","4,0",https://www.ecco-verde.com/couleur-caramel/eyebrow-pencil-21
"Aloe Vera & Menthol Tooth Tablets, 80 Pcs",Natessance,"https://ec.nice-cdn.com/upload/image/product/large/default/83653_5ce93683.256x256.png,https://ec.nice-cdn.com/upload/image/product/large/default/83654_2946f15d.256x256.png,https://ec.nice-cdn.com/upload/image/product/large/default/83653_5ce93683.128x128.png,https://ec.nice-cdn.com/upload/image/product/large/default/83654_2946f15d.128x128.png","Protects,Gentle foam formation,Fluoride-free","€ 9,39","ECOCERT - Cosmos Organic,Cosmébio - COSMOS NATURAL,Cosmébio - COSMOS ORGANIC,Unisex,Vegan",,"Fluoride-free ,","ECOCERT - Cosmos Organic,Cosmébio - COSMOS NATURAL,Cosmébio - COSMOS ORGANIC,Vegan - Uncertified ",,"Calcium Citrate,erythritol,Calcium Carbonate,Sodium Bicarbonate,Aroma,Xanthan Gum,Xylitol,Inulin,Sodium Lauroyl Glutamate,citricacid,,rebaudioside A,Magnesium Stearate,Menthol,Limonene","5,0",https://www.ecco-verde.com/natessance/aloe-vera-menthol-tooth-tablets
